날짜,시가,고가,저가,종가,거래량,거래대금,등락률
2020-01-02,4900,5140,4895,5050,210107,1056111000,1.61
2020-01-03,5050,5150,5030,5100,128274,651438140,0.99
2020-01-06,5080,5080,4950,5030,162087,808800100,-1.37
2020-01-07,5030,5100,4965,5030,42008,211023570,0.0
2020-01-08,5050,5060,4735,4935,110827,539651045,-1.89
2020-01-09,4970,5150,4860,4960,21867,109101890,0.51
2020-01-10,5000,5000,4920,4940,26952,133403200,-0.4
2020-01-13,4985,4985,4820,4860,48082,233656880,-1.62
2020-01-14,4895,4940,4790,4860,70557,341270185,0.0
2020-01-15,4890,4950,4805,4880,27356,132383860,0.41
2020-01-16,4895,4995,4830,4950,40317,199349460,1.43
2020-01-17,5070,5100,4785,4875,142862,703904300,-1.52
2020-01-20,4805,4830,4670,4740,126487,602381830,-2.77
2020-01-21,4740,4895,4700,4850,96455,466431295,2.32
2020-01-22,4825,4910,4825,4855,32241,156972420,0.1
2020-01-23,4805,5030,4790,4960,159085,790833380,2.16
2020-01-28,4870,4900,4705,4745,51976,246608510,-4.33
2020-01-29,4715,4940,4485,4900,45308,218545230,3.27
2020-01-30,4900,4965,4785,4850,65514,318191205,-1.02
2020-01-31,4800,5050,4800,4905,73691,362568360,1.13
2020-02-03,4745,4960,4720,4840,140938,682324105,-1.33
2020-02-04,4920,5000,4800,4855,129285,628826530,0.31
2020-02-05,4900,4980,4820,4935,44954,218476795,1.65
2020-02-06,4910,5020,4875,4990,66956,331560685,1.11
2020-02-07,4950,5150,4905,5080,60387,302553630,1.8
2020-02-10,5080,5090,4990,5080,52677,265408475,0.0
2020-02-11,5140,5170,5060,5140,51948,266199460,1.18
2020-02-12,5170,5270,5090,5120,34305,176585380,-0.39
2020-02-13,5100,5220,4965,5140,96100,487567215,0.39
2020-02-14,5130,5180,5050,5100,31173,158151820,-0.78
2020-02-17,5100,5100,4920,4920,77900,386667365,-3.53
2020-02-18,4935,4980,4800,4965,42544,209398190,0.91
2020-02-19,4880,4960,4860,4905,110707,543887035,-1.21
2020-02-20,4960,4960,4825,4855,9715,47485510,-1.02
2020-02-21,4805,4935,4620,4840,91218,442134615,-0.31
2020-02-24,4705,4835,4595,4595,38030,177115405,-5.06
2020-02-25,4560,4635,4420,4525,148805,670616340,-1.52
2020-02-26,4425,4455,4310,4370,139867,610123820,-3.43
2020-02-27,4370,4600,4140,4245,268145,1163934035,-2.86
2020-02-28,4245,4245,4005,4090,235956,956825395,-3.65
2020-03-02,4175,4215,3990,4055,131327,532500885,-0.86
2020-03-03,4145,4145,4000,4035,303281,1222769770,-0.49
2020-03-04,4035,4175,4020,4150,80204,328817350,2.85
2020-03-05,4170,4225,4120,4140,36042,150172705,-0.24
2020-03-06,4140,4140,4035,4070,35558,144775455,-1.69
2020-03-09,4060,4060,3930,3975,97521,386492995,-2.33
2020-03-10,3910,3940,3780,3940,148582,567825515,-0.88
2020-03-11,3940,3945,3775,3815,48856,187197965,-3.17
2020-03-12,3685,3800,3505,3650,111617,405822080,-4.33
2020-03-13,3460,3580,3140,3525,170309,564446505,-3.42
2020-03-16,3410,3625,3270,3415,99605,337543095,-3.12
2020-03-17,3300,3420,3000,3145,175346,549028915,-7.91
2020-03-18,3150,3150,2845,2895,248877,744713965,-7.95
2020-03-19,2885,2940,2030,2110,531730,1202539950,-27.12
2020-03-20,1950,2080,1950,2040,899958,1786655310,-3.32
2020-03-23,1950,2140,1860,1970,270836,533332890,-3.43
2020-03-24,2050,2200,1980,2160,208892,441624180,9.64
2020-03-25,2235,2520,2200,2440,240822,568623030,12.96
2020-03-26,2415,2725,2380,2655,238643,619919055,8.81
2020-03-27,2715,3295,2675,2825,277888,804239460,6.4
2020-03-30,2775,2875,2690,2830,104980,291738785,0.18
2020-03-31,2835,2950,2825,2950,147416,424618755,4.24
2020-04-01,3000,3000,2850,2850,96804,282074760,-3.39
