날짜,시가,고가,저가,종가,거래량,거래대금,등락률
2020-01-02,169000,170000,167500,168500,21308,3598915000,-0.59
2020-01-03,169500,171500,168500,169000,26817,4550980000,0.3
2020-01-06,168000,170000,166000,166500,21202,3565876500,-1.48
2020-01-07,167000,170500,166500,169500,26815,4552120500,1.8
2020-01-08,166000,171000,165000,169500,32076,5382525000,0.0
2020-01-09,168000,170500,165000,166500,37195,6202304000,-1.77
2020-01-10,165000,166500,161500,163000,32941,5378722401,-2.1
2020-01-13,163000,169000,162000,168000,26508,4417696000,3.07
2020-01-14,168500,171000,168000,170500,36140,6152156250,1.49
2020-01-15,168500,170500,166000,169500,23585,3983706000,-0.59
2020-01-16,169500,172000,168000,171000,25494,4342080500,0.88
2020-01-17,169500,173000,169500,171000,37257,6382363500,0.0
2020-01-20,171000,173000,170000,171000,25568,4387920500,0.0
2020-01-21,170500,172500,170000,171500,16131,2768871000,0.29
2020-01-22,172000,175500,171500,174000,27092,4714326000,1.46
2020-01-23,172500,174500,171500,174000,21142,3665095500,0.0
2020-01-28,171000,174500,170500,172000,25933,4476154000,-1.15
2020-01-29,171000,174000,166500,168000,37616,6352202500,-2.33
2020-01-30,168000,171500,167500,171000,23586,4004645500,1.79
2020-01-31,171000,172500,164500,165000,26491,4445315000,-3.51
2020-02-03,165000,171500,164000,166000,39550,6590327000,0.61
2020-02-04,164500,167000,161000,161500,37253,6051136000,-2.71
2020-02-05,160000,163000,159000,160000,69016,11096151500,-0.93
2020-02-06,161500,164500,161500,164500,39852,6518153500,2.81
2020-02-07,163500,164500,160000,161500,28202,4535142000,-1.82
2020-02-10,161500,162000,157000,158000,33901,5357538500,-2.17
2020-02-11,158500,161500,158500,160000,22822,3656297500,1.27
2020-02-12,158500,165500,158500,163000,46684,7606600000,1.88
2020-02-13,163500,167000,162000,164500,51577,8509080000,0.92
2020-02-14,164000,171000,162500,169000,45288,7600330500,2.74
2020-02-17,169500,172500,168500,169000,16521,2805776500,0.0
2020-02-18,165500,170500,165500,168000,28224,4747438302,-0.59
2020-02-19,170000,170000,163000,164500,34892,5766434500,-2.08
2020-02-20,162000,166000,162000,163500,27347,4492309500,-0.61
2020-02-21,164000,167500,163000,164000,48771,8068368500,0.31
2020-02-24,165500,174000,158500,160500,61694,10109717000,-2.13
2020-02-25,163000,163000,157500,158500,27866,4443909500,-1.25
2020-02-26,161500,161500,153500,156000,39467,6143130000,-1.58
2020-02-27,156000,158000,153500,156500,21217,3305911000,0.32
2020-02-28,158000,158000,150500,151500,41481,6309801000,-3.19
2020-03-02,153000,154000,146500,150000,35744,5380450500,-0.99
2020-03-03,151000,155000,150000,155000,42393,6502452000,3.33
2020-03-04,156500,162000,155500,160500,31194,4994695500,3.55
2020-03-05,160500,164000,158500,163000,31733,5127486500,1.56
2020-03-06,163000,164500,157000,158000,24796,3949544000,-3.07
2020-03-09,155500,156000,152000,154000,28224,4352662500,-2.53
2020-03-10,155000,158000,148500,149500,56210,8465220500,-2.92
2020-03-11,148500,152000,148500,149500,33795,5066523500,0.0
2020-03-12,152000,152000,139000,142000,49431,7088197000,-5.02
2020-03-13,130000,140000,130000,136000,57520,7773339500,-4.23
2020-03-16,136500,140000,130500,134000,42183,5664232500,-1.47
2020-03-17,124500,132000,124500,129000,68369,8795673500,-3.73
2020-03-18,127000,129000,120000,120000,48304,6100188000,-6.98
2020-03-19,121500,122500,105500,109000,55754,6259116000,-9.17
2020-03-20,110500,121500,110500,121500,45758,5410229500,11.47
2020-03-23,112000,120000,111000,116000,37483,4334637000,-4.53
2020-03-24,112500,124000,112500,122000,59289,6985045500,5.17
2020-03-25,124500,125500,120000,122500,60237,7373998500,0.41
2020-03-26,121500,123000,120000,121000,72665,8846373500,-1.22
2020-03-27,124000,126500,116000,118500,51419,6183713000,-2.07
2020-03-30,116500,121500,113500,121000,51915,6127350000,2.11
2020-03-31,123000,134500,123000,132000,96353,12488366000,9.09
2020-04-01,130500,136500,126000,127500,62937,8344935500,-3.41
2020-04-02,126000,133000,124500,129500,33941,4382816000,1.57
2020-04-03,128500,132000,128000,130500,27354,3542729000,0.77
