,Name,Score,Review,Link,Addr
229,산천칡냉면전문,4.4,52,https://place.map.kakao.com/10435803,"
서울 동작구 사당로12길 2 2층
(지번) 사당동 250-7
"
231,정인면옥,3.1,47,https://place.map.kakao.com/755120516,"
경기 부천시 부흥로 347 B동 1층
(지번) 심곡동 72-5
"
233,왕세숫대야냉면왕돈까스 서울대점,3.4,20,https://place.map.kakao.com/17736582,"
서울 관악구 쑥고개로 122 대원빌딩 1층
(지번) 봉천동 1572-1
"
234,북녘식당친친,3.7,33,https://place.map.kakao.com/1197754887,"
서울 마포구 연남로7길 24 1층
(지번) 연남동 370-30
"
235,얼큰이왕냉면,4.6,10,https://place.map.kakao.com/16846659,"
서울 마포구 희우정로 76
(지번) 망원동 396-5
"
237,함흥냉면,3.8,14,https://place.map.kakao.com/16883945,"
서울 관악구 봉천로 586
(지번) 봉천동 1630-4
"
239,신우리냉면,4.0,13,https://place.map.kakao.com/25068727,"
경기 부천시 까치로6번길 7-4 1층
(지번) 작동 427-5
"
255,청송함흥냉면전문점 본관,3.6,100,https://place.map.kakao.com/8088062,"
서울 서대문구 연희맛로 6 1층
(지번) 연희동 193-6
"
257,대동관,4.4,11,https://place.map.kakao.com/745047863,"
서울 마포구 모래내로7길 62 1층
(지번) 성산동 138-4
"
259,유정우함흥냉면,4.0,49,https://place.map.kakao.com/12045926,"
서울 동작구 동작대로29다길 7-1
(지번) 사당동 91-3
"
262,안영자면옥,3.3,19,https://place.map.kakao.com/74610229,"
서울 강서구 마곡중앙4로 22 파인스퀘어 A동 1층 101,102호
(지번) 마곡동 799-11
"
265,평택고여사집냉면,4.0,36,https://place.map.kakao.com/10161291,"
서울 서대문구 연희로 81-9 1층
(지번) 연희동 193-13
"
267,의정부평양면옥 마곡본점,3.8,21,https://place.map.kakao.com/1462046162,"
서울 강서구 마곡중앙6로 45 리더스퀘어 2층 207호
(지번) 마곡동 772-5
"
273,산까치냉면,3.3,39,https://place.map.kakao.com/19153287,"
서울 마포구 도화길 35
(지번) 도화동 179-1
"
292,송주불냉면 부천남부점,5.0,10,https://place.map.kakao.com/874809518,"
경기 부천시 성주로270번길 12
(지번) 심곡본동 731-3
"
311,오복함흥냉면,3.2,216,https://place.map.kakao.com/15338847,"
서울 용산구 한강대로84길 4
(지번) 남영동 61-3
"
323,산골녹차냉면 본점,3.4,21,https://place.map.kakao.com/13096291,"
서울 용산구 효창원로 147 1층
(지번) 효창동 5-327
"
329,삼복가 본점,3.9,16,https://place.map.kakao.com/21320810,"
경기 부천시 수도로 21
(지번) 약대동 139-3
"
331,이수면옥,3.8,15,https://place.map.kakao.com/27282095,"
서울 동작구 동작대로 123
(지번) 사당동 134-3
"
337,동아냉면 숙대2호점,3.5,41,https://place.map.kakao.com/15754874,"
서울 용산구 청파로45길 20
(지번) 청파동3가 24-24
"
